

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

,Sell,5/21/2018 11:45,LX1,$3382.25,,$0.00,$5563.40,,($17.50),14.29%,0.00%,$0.70,$1.00
63,Buy,5/21/2018 10:00,LE2,$3389.25,$0.00,4,($146.80),-0.21%,$70.00,28.57%,,$1.40,$2.00
,Sell,5/21/2018 11:45,LX2,$3382.25,,($140.00),$5416.60,,($175.00),14.29%,-57.14%,$1.40,$2.00
64,Buy,5/21/2018 10:15,LE3,$3385.75,$0.00,4,($76.80),-0.10%,$140.00,57.14%,,$1.40,$2.00
,Sell,5/21/2018 11:45,LX3,$3382.25,,($70.00),$5339.80,,($105.00),14.29%,-28.57%,$1.40,$2.00
65,Buy,5/22/2018 09:45,LE1,$3392.00,$0.00,2,($43.40),-0.12%,$32.50,37.14%,,$0.70,$1.00
,Sell,5/22/2018 10:45,LX1,$3388.00,,($40.00),$5296.40,,($55.00),17.14%,-45.71%,$0.70,$1.00
66,Buy,5/22/2018 10:00,LE2,$3392.00,$0.00,4,($86.80),-0.12%,$50.00,31.25%,,$1.40,$2.00
,Sell,5/22/2018 10:45,LX2,$3388.00,,($80.00),$5209.60,,($110.00),18.75%,-50.00%,$1.40,$2.00
67,Buy,5/22/2018 10:15,LE3,$3392.00,$0.00,4,($86.80),-0.12%,$50.00,31.25%,,$1.40,$2.00
,Sell,5/22/2018 10:45,LX3,$3388.00,,($80.00),$5122.80,,($110.00),18.75%,-50.00%,$1.40,$2.00
68,Buy,6/1/2018 09:45,LE1,$3375.00,$0.00,2,$179.10,0.54%,$310.00,96.88%,,$0.70,$1.00
,Sell,6/5/2018 12:00,LX1,$3393.25,,$182.50,$5301.90,,($10.00),60.16%,57.03%,$0.70,$1.00
69,Buy,6/1/2018 10:00,LE2,$3379.50,$0.00,2,$134.10,0.41%,$265.00,85.48%,,$0.70,$1.00
,Sell,6/5/2018 12:00,LX2,$3393.25,,$137.50,$5436.00,,($45.00),58.87%,44.35%,$0.70,$1.00
70,Buy,6/1/2018 10:15,LE3,$3380.00,$0.00,4,$258.20,0.39%,$520.00,83.87%,,$1.40,$2.00
,Sell,6/5/2018 12:00,LX3,$3393.25,,$265.00,$5694.20,,($100.00),58.87%,42.74%,$1.40,$2.00
71,Buy,6/6/2018 09:45,LE1,$3408.50,$0.00,2,$146.60,0.44%,$247.50,77.95%,,$0.70,$1.00
